"","type_of_monument_clean","n"
"1","NULL",3339
"2","altar",682
"3","architectural member",103
"4","base",10
"5","block",17
"6","cippus",25
"7","cliff",25
"8","fountain",1
"9","grave monument",3
"10","honorific/grave/votive column",9
"11","honorific/votive arch",1
"12","instrumentum domesticum",16
"13","instrumentum militare",1
"14","instrumentum sacrum",1
"15","mile-/leaguestone",120
"16","relief",29
"17","sarcophagus",685
"18","sculpture",1
"19","slab",10
"20","statue",6
"21","statue base",112
"22","stele",894
"23","table",12
"24","tabula",672
"25","tile",19
"26","urn",185
"27",NA,170
